portal,role_query,title,company,location,url,posted,scraped_at
LinkedIn,AI Engineer,AI Solutions Engineer ($160K – $200K + Equity) at V7,Jack & Jill,"New York, United States",https://www.linkedin.com/jobs/view/ai-solutions-engineer-%24160k-%E2%80%93-%24200k-%2B-equity-at-v7-at-jack-jill-4401748444?position=4&pageNum=0&refId=cTcVibazJUifVgvxs9JbVg%3D%3D&trackingId=OxEHUfcBRjhON3L12LUzsA%3D%3D,6 days ago,2026-04-21T12:09:52.254772
LinkedIn,AI Engineer,Machine Learning Engineer,"Roper Technologies, Inc.","Sarasota, FL",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-roper-technologies-inc-4401398242?position=5&pageNum=0&refId=cTcVibazJUifVgvxs9JbVg%3D%3D&trackingId=J1FtVCMOmz4w2K4hS%2F4XzA%3D%3D,1 week ago,2026-04-21T12:09:52.254772
LinkedIn,AI Engineer,Software Engineer ($165k-$250k + Equity) at Strala,Jack & Jill,San Francisco Bay Area,https://www.linkedin.com/jobs/view/software-engineer-%24165k-%24250k-%2B-equity-at-strala-at-jack-jill-4401737815?position=6&pageNum=0&refId=cTcVibazJUifVgvxs9JbVg%3D%3D&trackingId=9yXbFptQo5p891zVK3RtJg%3D%3D,6 days ago,2026-04-21T12:09:52.254772
LinkedIn,AI Engineer,Data Scientist,Samba TV,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-at-samba-tv-4401794091?position=7&pageNum=0&refId=cTcVibazJUifVgvxs9JbVg%3D%3D&trackingId=sSkMx17iHfvLBMh9YGnbIQ%3D%3D,6 days ago,2026-04-21T12:09:52.255776
LinkedIn,AI Engineer,AI/ML Engineer,WB Solutions LLC,"Frisco, TX",https://www.linkedin.com/jobs/view/ai-ml-engineer-at-wb-solutions-llc-4399541564?position=8&pageNum=0&refId=cTcVibazJUifVgvxs9JbVg%3D%3D&trackingId=ZP0%2B27eMn75GhyBWetfN8g%3D%3D,1 week ago,2026-04-21T12:09:52.255776
LinkedIn,AI Engineer,AI/ML Engineer ($250K–$400K + Equity) at Known,Jack & Jill,"San Francisco, CA",https://www.linkedin.com/jobs/view/ai-ml-engineer-%24250k%E2%80%93%24400k-%2B-equity-at-known-at-jack-jill-4400766383?position=9&pageNum=0&refId=cTcVibazJUifVgvxs9JbVg%3D%3D&trackingId=jZnpEqUWVSxW4xbh8E0JUg%3D%3D,6 days ago,2026-04-21T12:09:52.255776
LinkedIn,AI Engineer,Machine Learning Engineer,PayPal,"Chicago, IL",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-paypal-4401777435?position=10&pageNum=0&refId=cTcVibazJUifVgvxs9JbVg%3D%3D&trackingId=aS3t9il1uKYlfI9Gp%2Be5ng%3D%3D,6 days ago,2026-04-21T12:09:52.255776
LinkedIn,AI Engineer,Junior AI Engineer,Onto Innovation,"Wilmington, MA",https://www.linkedin.com/jobs/view/junior-ai-engineer-at-onto-innovation-4310893067?position=11&pageNum=0&refId=cTcVibazJUifVgvxs9JbVg%3D%3D&trackingId=4b9FarK5Y%2FpWQUkAVz6PoQ%3D%3D,1 day ago,2026-04-21T12:09:52.255776
LinkedIn,AI Engineer,(Jr.) Machine Learning (ML) Developer,Laminar,"Somerville, MA",https://www.linkedin.com/jobs/view/jr-machine-learning-ml-developer-at-laminar-4402936526?position=12&pageNum=0&refId=cTcVibazJUifVgvxs9JbVg%3D%3D&trackingId=886cAdjPXYbjgoZ6%2BSlNoA%3D%3D,5 days ago,2026-04-21T12:09:52.255776
LinkedIn,AI Engineer,"Software Engineer, AI/ML, Platforms and Devices",Google,"Mountain View, CA",https://www.linkedin.com/jobs/view/software-engineer-ai-ml-platforms-and-devices-at-google-4399631159?position=13&pageNum=0&refId=cTcVibazJUifVgvxs9JbVg%3D%3D&trackingId=oVl3Rgxxo9apKUqe8AkAlg%3D%3D,1 week ago,2026-04-21T12:09:52.255776
